date,jurisdiction,state,county,doc_type,title,text,url,year,month,tokens,kw_count,kw_per_1k,has_keyword
2022-01-17,Adams County,CO,Adams County,agenda,Special Session Agenda,School board liaison report on enrollment trends. School board liaison report on enrollment trends. Tax increment financing district proposed for downtown revitalization. Tax increment financing district proposed for downtown revitalization. Planning commission update on development applications received. Water utility rate increase approved following public comment period.,https://agendawatch.org/docs/co/adams_county/20220117/,2022,2022-01,"['school', 'liaison', 'enrollment', 'trends', 'school', 'liaison', 'enrollment', 'trends', 'tax', 'increment', 'financing', 'proposed', 'downtown', 'revitalization', 'tax', 'increment', 'financing', 'proposed', 'downtown', 'revitalization', 'planning', 'update', 'development', 'applications', 'received', 'water', 'utility', 'rate', 'increase', 'period']",0,0.0,False
2022-01-08,Adams County,CO,Adams County,agenda,Public Hearing Notice,The board approved the FY2024 budget with a 3% increase in infrastructure spending. The board approved the FY2024 budget with a 3% increase in infrastructure spending. Tax increment financing district proposed for downtown revitalization. Emergency services dispatch modernization project update. The board approved the FY2024 budget with a 3% increase in infrastructure spending. Concerns raised about voter roll maintenance and election security. The board approved the FY2024 budget with a 3% increase in infrastructure spending.,https://agendawatch.org/docs/co/adams_county/20220108/,2022,2022-01,"['budget', 'increase', 'infrastructure', 'spending', 'budget', 'increase', 'infrastructure', 'spending', 'tax', 'increment', 'financing', 'proposed', 'downtown', 'revitalization', 'emergency', 'services', 'dispatch', 'modernization', 'project', 'update', 'budget', 'increase', 'infrastructure', 'spending', 'concerns', 'raised', 'voter', 'roll', 'maintenance', 'election', 'security', 'budget', 'increase', 'infrastructure', 'spending', 'notice']",1,27.7778,True
2022-01-24,Harris County,TX,Harris County,agenda,Board Meeting Agenda,Animal control contract renewal discussed and approved. Public hearing on zoning variance for the proposed commercial development. Emergency services dispatch modernization project update. Staff report on road maintenance and bridge inspection schedule. Library millage rate discussion and public comment. Water utility rate increase approved following public comment period. Water utility rate increase approved following public comment period.,https://agendawatch.org/docs/tx/harris_county/20220124/,2022,2022-01,"['animal', 'control', 'contract', 'renewal', 'discussed', 'zoning', 'variance', 'proposed', 'commercial', 'development', 'emergency', 'services', 'dispatch', 'modernization', 'project', 'update', 'road', 'maintenance', 'bridge', 'inspection', 'schedule', 'library', 'millage', 'rate', 'water', 'utility', 'rate', 'increase', 'period', 'water', 'utility', 'rate', 'increase', 'period']",0,0.0,False
2022-01-08,Dallas County,TX,Dallas County,agenda,Commission Meeting Minutes,A resident presented claims of foreign interference in the election process. Discussion on voting machine certification standards for the upcoming election. The board voted on certifying the election results. Library millage rate discussion and public comment. Animal control contract renewal discussed and approved. Health department report on vaccination rates and public health initiatives. Staff presented the election results from the November general election.,https://agendawatch.org/docs/tx/dallas_county/20220108/,2022,2022-01,"['resident', 'presented', 'claims', 'foreign', 'interference', 'election', 'process', 'voting', 'machine', 'certification', 'standards', 'upcoming', 'election', 'voted', 'certifying', 'election', 'results', 'library', 'millage', 'rate', 'animal', 'control', 'contract', 'renewal', 'discussed', 'health', 'vaccination', 'rates', 'health', 'initiatives', 'presented', 'election', 'results', 'november', 'general', 'election']",5,138.8889,True
2022-01-16,Tarrant County,TX,Tarrant County,minutes,Special Session Agenda,The board discussed concerns about election integrity and the upcoming election cycle. The election of new board members was conducted according to Robert's Rules. Commissioner raised the issue of potential election fraud in the last general election. The board voted on certifying the election results. Planning commission update on development applications received. Discussion of the county parks and recreation master plan.,https://agendawatch.org/docs/tx/tarrant_county/20220116/,2022,2022-01,"['discussed', 'concerns', 'election', 'integrity', 'upcoming', 'election', 'cycle', 'election', 'members', 'conducted', 'according', 'robert', 'rules', 'commissioner', 'raised', 'issue', 'potential', 'election', 'fraud', 'last', 'general', 'election', 'voted', 'certifying', 'election', 'results', 'planning', 'update', 'development', 'applications', 'received', 'parks', 'recreation', 'master', 'plan']",6,171.4286,True
2022-01-02,Tarrant County,TX,Tarrant County,agenda,Special Session Agenda,The board approved the FY2024 budget with a 3% increase in infrastructure spending. Animal control contract renewal discussed and approved. The board approved the FY2024 budget with a 3% increase in infrastructure spending. Library millage rate discussion and public comment. Discussion of the county parks and recreation master plan. The board approved the FY2024 budget with a 3% increase in infrastructure spending. School board liaison report on enrollment trends.,https://agendawatch.org/docs/tx/tarrant_county/20220102/,2022,2022-01,"['budget', 'increase', 'infrastructure', 'spending', 'animal', 'control', 'contract', 'renewal', 'discussed', 'budget', 'increase', 'infrastructure', 'spending', 'library', 'millage', 'rate', 'parks', 'recreation', 'master', 'plan', 'budget', 'increase', 'infrastructure', 'spending', 'school', 'liaison', 'enrollment', 'trends']",0,0.0,False
2022-01-04,Bexar County,TX,Bexar County,agenda,Work Session Minutes,Public hearing on zoning variance for the proposed commercial development. Emergency services dispatch modernization project update. Animal control contract renewal discussed and approved. School board liaison report on enrollment trends. Emergency services dispatch modernization project update. Library millage rate discussion and public comment. Emergency services dispatch modernization project update.,https://agendawatch.org/docs/tx/bexar_county/20220104/,2022,2022-01,"['zoning', 'variance', 'proposed', 'commercial', 'development', 'emergency', 'services', 'dispatch', 'modernization', 'project', 'update', 'animal', 'control', 'contract', 'renewal', 'discussed', 'school', 'liaison', 'enrollment', 'trends', 'emergency', 'services', 'dispatch', 'modernization', 'project', 'update', 'library', 'millage', 'rate', 'emergency', 'services', 'dispatch', 'modernization', 'project', 'update', 'work']",0,0.0,False
2022-01-21,Bexar County,TX,Bexar County,agenda,Special Session Agenda,Staff report on road maintenance and bridge inspection schedule. The commission approved the budget for election administration. The board discussed concerns about election integrity and the upcoming election cycle. Concerns raised about voter roll maintenance and election security. Library millage rate discussion and public comment.,https://agendawatch.org/docs/tx/bexar_county/20220121/,2022,2022-01,"['road', 'maintenance', 'bridge', 'inspection', 'schedule', 'budget', 'election', 'administration', 'discussed', 'concerns', 'election', 'integrity', 'upcoming', 'election', 'cycle', 'concerns', 'raised', 'voter', 'roll', 'maintenance', 'election', 'security', 'library', 'millage', 'rate']",4,160.0,True
2022-01-10,Travis County,TX,Travis County,agenda,Work Session Minutes,Discussion of early voting expansion and election accessibility. Tax increment financing district proposed for downtown revitalization. School board liaison report on enrollment trends. Discussion of the county parks and recreation master plan. Library millage rate discussion and public comment. Staff report on road maintenance and bridge inspection schedule. Health department report on vaccination rates and public health initiatives. Motion to form an election oversight subcommittee carried unanimously. Claims of widespread fraud in the 2020 election were raised by three residents.,https://agendawatch.org/docs/tx/travis_county/20220110/,2022,2022-01,"['early', 'voting', 'expansion', 'election', 'accessibility', 'tax', 'increment', 'financing', 'proposed', 'downtown', 'revitalization', 'school', 'liaison', 'enrollment', 'trends', 'parks', 'recreation', 'master', 'plan', 'library', 'millage', 'rate', 'road', 'maintenance', 'bridge', 'inspection', 'schedule', 'health', 'vaccination', 'rates', 'health', 'initiatives', 'form', 'election', 'oversight', 'subcommittee', 'claims', 'widespread', 'fraud', 'election', 'raised', 'residents', 'work']",3,69.7674,True
2022-01-21,Travis County,TX,Travis County,agenda,Work Session Minutes,Animal control contract renewal discussed and approved. Staff report on road maintenance and bridge inspection schedule. Animal control contract renewal discussed and approved. Discussion of the county parks and recreation master plan. Health department report on vaccination rates and public health initiatives. Health department report on vaccination rates and public health initiatives. The board approved the FY2024 budget with a 3% increase in infrastructure spending.,https://agendawatch.org/docs/tx/travis_county/20220121/,2022,2022-01,"['animal', 'control', 'contract', 'renewal', 'discussed', 'road', 'maintenance', 'bridge', 'inspection', 'schedule', 'animal', 'control', 'contract', 'renewal', 'discussed', 'parks', 'recreation', 'master', 'plan', 'health', 'vaccination', 'rates', 'health', 'initiatives', 'health', 'vaccination', 'rates', 'health', 'initiatives', 'budget', 'increase', 'infrastructure', 'spending', 'work']",0,0.0,False
2022-01-18,Collin County,TX,Collin County,minutes,Regular Meeting Minutes,Library millage rate discussion and public comment. Staff report on road maintenance and bridge inspection schedule. Concerns raised about voter roll maintenance and election security. Health department report on vaccination rates and public health initiatives.,https://agendawatch.org/docs/tx/collin_county/20220118/,2022,2022-01,"['library', 'millage', 'rate', 'road', 'maintenance', 'bridge', 'inspection', 'schedule', 'concerns', 'raised', 'voter', 'roll', 'maintenance', 'election', 'security', 'health', 'vaccination', 'rates', 'health', 'initiatives']",1,50.0,True
2022-01-12,Collin County,TX,Collin County,agenda,Commission Meeting Minutes,School board liaison report on enrollment trends. Health department report on vaccination rates and public health initiatives. The election of new board members was conducted according to Robert's Rules. Concerns raised about voter roll maintenance and election security.,https://agendawatch.org/docs/tx/collin_county/20220112/,2022,2022-01,"['school', 'liaison', 'enrollment', 'trends', 'health', 'vaccination', 'rates', 'health', 'initiatives', 'election', 'members', 'conducted', 'according', 'robert', 'rules', 'concerns', 'raised', 'voter', 'roll', 'maintenance', 'election', 'security']",2,90.9091,True
2022-01-06,St. Louis County,MO,St. Louis County,minutes,Special Session Agenda,Tax increment financing district proposed for downtown revitalization. Tax increment financing district proposed for downtown revitalization. Public hearing on zoning variance for the proposed commercial development. Planning commission update on development applications received. Water utility rate increase approved following public comment period.,https://agendawatch.org/docs/mo/st._louis_county/20220106/,2022,2022-01,"['tax', 'increment', 'financing', 'proposed', 'downtown', 'revitalization', 'tax', 'increment', 'financing', 'proposed', 'downtown', 'revitalization', 'zoning', 'variance', 'proposed', 'commercial', 'development', 'planning', 'update', 'development', 'applications', 'received', 'water', 'utility', 'rate', 'increase', 'period']",0,0.0,False
2022-01-15,Jackson County,MO,Jackson County,agenda,Public Hearing Notice,The board discussed concerns about election integrity and the upcoming election cycle. Commissioner raised the issue of potential election fraud in the last general election. Health department report on vaccination rates and public health initiatives. School board liaison report on enrollment trends. Discussion of the county parks and recreation master plan.,https://agendawatch.org/docs/mo/jackson_county/20220115/,2022,2022-01,"['discussed', 'concerns', 'election', 'integrity', 'upcoming', 'election', 'cycle', 'commissioner', 'raised', 'issue', 'potential', 'election', 'fraud', 'last', 'general', 'election', 'health', 'vaccination', 'rates', 'health', 'initiatives', 'school', 'liaison', 'enrollment', 'trends', 'parks', 'recreation', 'master', 'plan', 'notice']",4,133.3333,True
2022-01-01,St. Charles County,MO,St. Charles County,minutes,Regular Meeting Minutes,The board discussed concerns about election integrity and the upcoming election cycle. Planning commission update on development applications received. Discussion of early voting expansion and election accessibility. Concerns raised about voter roll maintenance and election security. Water utility rate increase approved following public comment period. Emergency services dispatch modernization project update.,https://agendawatch.org/docs/mo/st._charles_county/20220101/,2022,2022-01,"['discussed', 'concerns', 'election', 'integrity', 'upcoming', 'election', 'cycle', 'planning', 'update', 'development', 'applications', 'received', 'early', 'voting', 'expansion', 'election', 'accessibility', 'concerns', 'raised', 'voter', 'roll', 'maintenance', 'election', 'security', 'water', 'utility', 'rate', 'increase', 'period', 'emergency', 'services', 'dispatch', 'modernization', 'project', 'update']",4,114.2857,True
2022-01-23,St. Charles County,MO,St. Charles County,agenda,Board Meeting Agenda,Library millage rate discussion and public comment. School board liaison report on enrollment trends. Tax increment financing district proposed for downtown revitalization. The board approved the FY2024 budget with a 3% increase in infrastructure spending. Tax increment financing district proposed for downtown revitalization. Tax increment financing district proposed for downtown revitalization. Water utility rate increase approved following public comment period.,https://agendawatch.org/docs/mo/st._charles_county/20220123/,2022,2022-01,"['library', 'millage', 'rate', 'school', 'liaison', 'enrollment', 'trends', 'tax', 'increment', 'financing', 'proposed', 'downtown', 'revitalization', 'budget', 'increase', 'infrastructure', 'spending', 'tax', 'increment', 'financing', 'proposed', 'downtown', 'revitalization', 'tax', 'increment', 'financing', 'proposed', 'downtown', 'revitalization', 'water', 'utility', 'rate', 'increase', 'period']",0,0.0,False
2022-01-10,Jefferson County MO,MO,Jefferson County MO,minutes,Board Meeting Agenda,Animal control contract renewal discussed and approved. Water utility rate increase approved following public comment period. School board liaison report on enrollment trends. Staff report on road maintenance and bridge inspection schedule. Discussion of the county parks and recreation master plan.,https://agendawatch.org/docs/mo/jefferson_county_mo/20220110/,2022,2022-01,"['animal', 'control', 'contract', 'renewal', 'discussed', 'water', 'utility', 'rate', 'increase', 'period', 'school', 'liaison', 'enrollment', 'trends', 'road', 'maintenance', 'bridge', 'inspection', 'schedule', 'parks', 'recreation', 'master', 'plan']",0,0.0,False
2022-01-07,Jefferson County MO,MO,Jefferson County MO,agenda,Special Session Agenda,Library millage rate discussion and public comment. School board liaison report on enrollment trends. Tax increment financing district proposed for downtown revitalization. Animal control contract renewal discussed and approved. Emergency services dispatch modernization project update. Discussion of the county parks and recreation master plan. Planning commission update on development applications received.,https://agendawatch.org/docs/mo/jefferson_county_mo/20220107/,2022,2022-01,"['library', 'millage', 'rate', 'school', 'liaison', 'enrollment', 'trends', 'tax', 'increment', 'financing', 'proposed', 'downtown', 'revitalization', 'animal', 'control', 'contract', 'renewal', 'discussed', 'emergency', 'services', 'dispatch', 'modernization', 'project', 'update', 'parks', 'recreation', 'master', 'plan', 'planning', 'update', 'development', 'applications', 'received']",0,0.0,False
2022-01-22,Jefferson County MO,MO,Jefferson County MO,minutes,Commission Meeting Minutes,The board discussed concerns about election integrity and the upcoming election cycle. The board approved the FY2024 budget with a 3% increase in infrastructure spending. Animal control contract renewal discussed and approved. Discussion on voting machine certification standards for the upcoming election. Health department report on vaccination rates and public health initiatives.,https://agendawatch.org/docs/mo/jefferson_county_mo/20220122/,2022,2022-01,"['discussed', 'concerns', 'election', 'integrity', 'upcoming', 'election', 'cycle', 'budget', 'increase', 'infrastructure', 'spending', 'animal', 'control', 'contract', 'renewal', 'discussed', 'voting', 'machine', 'certification', 'standards', 'upcoming', 'election', 'health', 'vaccination', 'rates', 'health', 'initiatives']",3,111.1111,True
2022-01-05,Greene County,MO,Greene County,agenda,Work Session Minutes,Health department report on vaccination rates and public health initiatives. Health department report on vaccination rates and public health initiatives. Health department report on vaccination rates and public health initiatives.,https://agendawatch.org/docs/mo/greene_county/20220105/,2022,2022-01,"['health', 'vaccination', 'rates', 'health', 'initiatives', 'health', 'vaccination', 'rates', 'health', 'initiatives', 'health', 'vaccination', 'rates', 'health', 'initiatives', 'work']",0,0.0,False
2022-01-15,Boone County,MO,Boone County,agenda,Commission Meeting Minutes,Staff presented the election results from the November general election. School board liaison report on enrollment trends. Claims of widespread fraud in the 2020 election were raised by three residents. Tax increment financing district proposed for downtown revitalization.,https://agendawatch.org/docs/mo/boone_county/20220115/,2022,2022-01,"['presented', 'election', 'results', 'november', 'general', 'election', 'school', 'liaison', 'enrollment', 'trends', 'claims', 'widespread', 'fraud', 'election', 'raised', 'residents', 'tax', 'increment', 'financing', 'proposed', 'downtown', 'revitalization']",3,136.3636,True
2022-01-06,Boone County,MO,Boone County,agenda,Board Meeting Agenda,Planning commission update on development applications received. Animal control contract renewal discussed and approved. Animal control contract renewal discussed and approved. Discussion of the county parks and recreation master plan. Health department report on vaccination rates and public health initiatives. Planning commission update on development applications received.,https://agendawatch.org/docs/mo/boone_county/20220106/,2022,2022-01,"['planning', 'update', 'development', 'applications', 'received', 'animal', 'control', 'contract', 'renewal', 'discussed', 'animal', 'control', 'contract', 'renewal', 'discussed', 'parks', 'recreation', 'master', 'plan', 'health', 'vaccination', 'rates', 'health', 'initiatives', 'planning', 'update', 'development', 'applications', 'received']",0,0.0,False
2022-01-11,Boone County,MO,Boone County,agenda,Commission Meeting Minutes,Commissioner raised the issue of potential election fraud in the last general election. Staff report on road maintenance and bridge inspection schedule. Water utility rate increase approved following public comment period. Public hearing on zoning variance for the proposed commercial development.,https://agendawatch.org/docs/mo/boone_county/20220111/,2022,2022-01,"['commissioner', 'raised', 'issue', 'potential', 'election', 'fraud', 'last', 'general', 'election', 'road', 'maintenance', 'bridge', 'inspection', 'schedule', 'water', 'utility', 'rate', 'increase', 'period', 'zoning', 'variance', 'proposed', 'commercial', 'development']",2,83.3333,True
2022-02-01,Denver County,CO,Denver County,minutes,Board Meeting Agenda,Planning commission update on development applications received. The board voted on certifying the election results. Water utility rate increase approved following public comment period. Planning commission update on development applications received. Debate over ballot drop box locations for the upcoming election. Concerns raised about voter roll maintenance and election security. Water utility rate increase approved following public comment period. Claims of widespread fraud in the 2020 election were raised by three residents. The board approved the FY2024 budget with a 3% increase in infrastructure spending.,https://agendawatch.org/docs/co/denver_county/20220201/,2022,2022-02,"['planning', 'update', 'development', 'applications', 'received', 'voted', 'certifying', 'election', 'results', 'water', 'utility', 'rate', 'increase', 'period', 'planning', 'update', 'development', 'applications', 'received', 'debate', 'ballot', 'drop', 'box', 'locations', 'upcoming', 'election', 'concerns', 'raised', 'voter', 'roll', 'maintenance', 'election', 'security', 'water', 'utility', 'rate', 'increase', 'period', 'claims', 'widespread', 'fraud', 'election', 'raised', 'residents', 'budget', 'increase', 'infrastructure', 'spending']",4,83.3333,True
2022-02-21,Denver County,CO,Denver County,agenda,Commission Meeting Minutes,School board liaison report on enrollment trends. Health department report on vaccination rates and public health initiatives. School board liaison report on enrollment trends. Tax increment financing district proposed for downtown revitalization. Health department report on vaccination rates and public health initiatives. Library millage rate discussion and public comment.,https://agendawatch.org/docs/co/denver_county/20220221/,2022,2022-02,"['school', 'liaison', 'enrollment', 'trends', 'health', 'vaccination', 'rates', 'health', 'initiatives', 'school', 'liaison', 'enrollment', 'trends', 'tax', 'increment', 'financing', 'proposed', 'downtown', 'revitalization', 'health', 'vaccination', 'rates', 'health', 'initiatives', 'library', 'millage', 'rate']",0,0.0,False
2022-02-01,El Paso County,CO,El Paso County,minutes,Special Session Agenda,The election of new board members was conducted according to Robert's Rules. School board liaison report on enrollment trends. The board voted on certifying the election results. Animal control contract renewal discussed and approved. Discussion of the county parks and recreation master plan. Staff presented the election results from the November general election.,https://agendawatch.org/docs/co/el_paso_county/20220201/,2022,2022-02,"['election', 'members', 'conducted', 'according', 'robert', 'rules', 'school', 'liaison', 'enrollment', 'trends', 'voted', 'certifying', 'election', 'results', 'animal', 'control', 'contract', 'renewal', 'discussed', 'parks', 'recreation', 'master', 'plan', 'presented', 'election', 'results', 'november', 'general', 'election']",4,137.931,True
2022-02-02,Arapahoe County,CO,Arapahoe County,agenda,Board Meeting Agenda,The board approved the FY2024 budget with a 3% increase in infrastructure spending. Animal control contract renewal discussed and approved. The board approved the FY2024 budget with a 3% increase in infrastructure spending. Emergency services dispatch modernization project update. Public hearing on zoning variance for the proposed commercial development. Public hearing on zoning variance for the proposed commercial development. Staff report on road maintenance and bridge inspection schedule. Health department report on vaccination rates and public health initiatives.,https://agendawatch.org/docs/co/arapahoe_county/20220202/,2022,2022-02,"['budget', 'increase', 'infrastructure', 'spending', 'animal', 'control', 'contract', 'renewal', 'discussed', 'budget', 'increase', 'infrastructure', 'spending', 'emergency', 'services', 'dispatch', 'modernization', 'project', 'update', 'zoning', 'variance', 'proposed', 'commercial', 'development', 'zoning', 'variance', 'proposed', 'commercial', 'development', 'road', 'maintenance', 'bridge', 'inspection', 'schedule', 'health', 'vaccination', 'rates', 'health', 'initiatives']",0,0.0,False
2022-02-03,Arapahoe County,CO,Arapahoe County,agenda,Public Hearing Notice,Water utility rate increase approved following public comment period. School board liaison report on enrollment trends. Library millage rate discussion and public comment. Health department report on vaccination rates and public health initiatives. Public hearing on zoning variance for the proposed commercial development.,https://agendawatch.org/docs/co/arapahoe_county/20220203/,2022,2022-02,"['water', 'utility', 'rate', 'increase', 'period', 'school', 'liaison', 'enrollment', 'trends', 'library', 'millage', 'rate', 'health', 'vaccination', 'rates', 'health', 'initiatives', 'zoning', 'variance', 'proposed', 'commercial', 'development', 'notice']",0,0.0,False
2022-02-25,Arapahoe County,CO,Arapahoe County,minutes,Work Session Minutes,The board approved the FY2024 budget with a 3% increase in infrastructure spending. Emergency services dispatch modernization project update. Motion to form an election oversight subcommittee carried unanimously. The board approved the FY2024 budget with a 3% increase in infrastructure spending. Emergency services dispatch modernization project update.,https://agendawatch.org/docs/co/arapahoe_county/20220225/,2022,2022-02,"['budget', 'increase', 'infrastructure', 'spending', 'emergency', 'services', 'dispatch', 'modernization', 'project', 'update', 'form', 'election', 'oversight', 'subcommittee', 'budget', 'increase', 'infrastructure', 'spending', 'emergency', 'services', 'dispatch', 'modernization', 'project', 'update', 'work']",1,40.0,True
